지점정보,경도,위도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
추풍령(135),127.99458,36.22025,32.4,31.2,48.4,38,50,26.7,19.2,20.2,21.6,26.4,33.1,29.2
대구(143),128.65296,35.87797,29.2,33.3,36.4,30.4,46.6,32,20.7,23.3,19.1,25,30.3,28.8
수원(119),126.983,37.25746,60.3,76,95.8,62.4,77.1,46.6,33.1,29.9,23,34.9,53.5,57.3
진도군(268),126.25846,34.47296,32.8,45.2,68.4,31.4,55.6,35,36.4,18.9,14.1,20.3,27.5,28.6
백령도(102),124.71237,37.97396,33.9,35.9,59.7,41.6,50.4,22.3,21.7,21.8,17.5,22.5,30.6,30.5
울산(152),129.33469,35.58237,26.7,28.4,31.4,24.8,24.8,20.9,15.6,17.2,14,17.1,23.4,23.5
흑산도(169),125.45105,34.68719,33.6,33.3,77.1,33,48.5,19.8,16.2,17.2,15.3,19,31.1,32
울진(130),129.41278,36.99176,22.6,27,41.6,38.5,38.1,21.1,18.5,23.2,19.3,18,22.2,19.6
전주(146),127.11718,35.84092,40,48,63.8,37.5,47.7,34.5,18.6,17.6,14.7,24.8,35.5,35.7
진주(192),128.04004,35.16378,29,29.2,48.2,31.6,34.9,23.5,16.3,15.8,16.2,19.8,27.5,25.5
강화(201),126.44634,37.70739,33.9,40.9,60.5,37.8,53.2,25.5,22,19.6,15.7,25.4,36.1,32.8
북춘천(93),127.75443,37.94738,38.8,39.8,48.3,38,49.5,24,18.9,19.2,13.6,22.2,38.3,33.3
대관령(100),128.71834,37.67713,29.8,29.9,38.9,35.4,48.8,22.3,17.3,16.9,12.5,20.3,30.4,23.8
서울(108),126.9658,37.57142,55.9,71.5,100.5,54.6,63,43.2,31.3,27.8,18.8,30.3,46.5,41.3
천안(232),127.29282,36.76217,40.7,43.2,60.3,40.9,59.6,27.8,19,19.5,17.1,29,41.9,37.7
광주(156),126.89156,35.17294,30.9,35.6,60.5,42.5,58.2,29.3,25.7,29.3,22.5,30.3,36.3,32.5
안동(136),128.70733,36.57293,34.7,35.6,49.9,36.2,47.2,24.5,16.3,19,13.7,21.4,35.5,26.8
울릉도(115),130.89863,37.48129,21.9,27,45.1,32.4,36.8,18.5,12.4,14.8,12.6,15.2,21.9,17.6
영월(121),128.45743,37.18126,34,34.1,45.6,32,48.9,22.5,16.1,16.2,12.9,17.9,30.6,26
고산(185),126.16283,33.29382,38.8,43.7,95.4,43.3,56.4,22,18.1,17.3,16.3,21.4,28.5,22.1
군산(140),126.76135,36.0053,42.6,45.3,89.4,41.4,71.7,30.7,21.3,20.6,17.7,26.4,34.2,30.5
속초(90),128.56473,38.25085,26.8,31.2,47.9,37.7,43.2,21.2,16,20.8,15.8,18.9,27,22.7
문경(273),128.14879,36.62727,29.4,32.3,47.2,35.4,58.3,30.3,21.5,23.1,15.9,20.3,28,25.7
